epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2946.35,0.65996,0.78428,0.49441,0.87047,0.70636,0.74905,0.76412,0.57021,0.7299,0.61388,0.67927,0.41501,0.75506,0.97039,0.628,0.88798,0.0001486,0.0001486,0.0001486
88,2978.91,0.64899,0.76122,0.4868,0.86438,0.78098,0.69553,0.76995,0.56886,0.68908,0.63343,0.68875,0.42182,0.76448,0.98198,0.64262,0.89666,0.0001387,0.0001387,0.0001387
89,3012.25,0.65615,0.78495,0.48274,0.86678,0.73942,0.71934,0.75383,0.55989,0.68932,0.64062,0.65798,0.39473,0.76085,0.99055,0.64629,0.89338,0.0001288,0.0001288,0.0001288
90,3046.77,0.64564,0.77529,0.48076,0.86461,0.74472,0.7171,0.77758,0.57029,0.69928,0.63056,0.66807,0.40929,0.75836,0.97184,0.64699,0.89394,0.0001189,0.0001189,0.0001189
91,3091.73,0.65057,0.78511,0.4638,0.85685,0.76982,0.68638,0.77814,0.56748,0.78716,0.63419,0.71787,0.41966,0.75707,0.9823,0.64952,0.89442,0.000109,0.000109,0.000109
92,3123.89,0.64518,0.76431,0.45197,0.85531,0.7907,0.70333,0.7844,0.57526,0.74795,0.66747,0.7257,0.43167,0.75436,0.98299,0.63408,0.89008,9.91e-05,9.91e-05,9.91e-05
93,3157.23,0.63962,0.74645,0.44697,0.85337,0.76968,0.70864,0.79228,0.58032,0.74109,0.66597,0.73513,0.42241,0.75405,0.98934,0.6389,0.89322,8.92e-05,8.92e-05,8.92e-05
94,3190.37,0.63552,0.75612,0.4412,0.85134,0.76176,0.68836,0.77552,0.56891,0.68954,0.62929,0.68564,0.41284,0.76025,0.99179,0.63377,0.89396,7.93e-05,7.93e-05,7.93e-05
95,3223.57,0.6366,0.76379,0.44031,0.85288,0.77867,0.67455,0.75632,0.55337,0.71286,0.59954,0.65798,0.39286,0.75764,0.98981,0.62724,0.89786,6.94e-05,6.94e-05,6.94e-05
96,3257.07,0.63383,0.75124,0.43728,0.85246,0.76605,0.68787,0.78073,0.5749,0.72173,0.60813,0.67351,0.40171,0.75507,0.98645,0.6316,0.89732,5.95e-05,5.95e-05,5.95e-05
97,3290.09,0.633,0.76621,0.44088,0.85308,0.709,0.7418,0.77826,0.57043,0.63887,0.65139,0.65045,0.38808,0.75377,0.98414,0.62713,0.89595,4.96e-05,4.96e-05,4.96e-05
98,3322.66,0.63524,0.74764,0.43795,0.85366,0.73709,0.73524,0.78237,0.57433,0.6773,0.64077,0.65602,0.39312,0.74361,0.98543,0.62062,0.89094,3.97e-05,3.97e-05,3.97e-05
99,3354.41,0.62954,0.75666,0.43567,0.85274,0.75108,0.7198,0.80276,0.58869,0.72239,0.6206,0.6951,0.42335,0.74335,0.97121,0.62228,0.89307,2.98e-05,2.98e-05,2.98e-05
100,3386.46,0.62336,0.74748,0.43324,0.8527,0.74412,0.71172,0.79008,0.58145,0.69038,0.63204,0.66966,0.40357,0.74517,0.97874,0.61962,0.89198,1.99e-05,1.99e-05,1.99e-05
